id,title,description,availability,condition,price,link,image_link,brand,additional_image_link,age_group,color,gender,item_group_id,google_product_category,material,inventory,pattern,product_type,sale_price,sale_price_effective_date,shipping,shipping_weight,size,custom_label_0,custom_label_1,custom_label_2,custom_label_3,custom_label_4
8920,lampara metalica con clip polaris plz8861 plata,lámpara de aluminio  con botón de encendido y apagado. utilizados pilas aaa no incluidas.,in stock,new,31.31 MXN,https://printec.mx/product/lampara-polaris/,https://www.doblevela.com/images/large/PLZ8861_lrg.jpg,PLZ8861 A090575,https://www.doblevela.com/images/large/PLZ8861_lrg.jpg,,plata,unisex,,Furniture > Office Furniture Accessories > Desk Parts & Accessories,Aluminio,157,POLARIS,LINTERNAS,31.31 MXN,2019-10-12T0:00-23:59/2019-12-31T0:00-23:59,,,,Medida: 13.8 x 1.3 cm,Unidad x Empaque: 500,Características caja master medida: 33 x 23 x 46 cm,Características caja master peso: 9,
11909,estuche de papel regla con post it carol pos2163 beige,estuche de papel reciclado con regla impresa de 6 pulgadas. incluye notas y banderas adhesivas de colores.,in stock,new,13.35 MXN,https://printec.mx/product/estuche-carol/,https://www.doblevela.com/images/large/POS2163_lrg.jpg,POS2163 A120098,https://www.doblevela.com/images/large/POS2163_lrg.jpg,,beige,unisex,,Furniture > Office Furniture Accessories > Desk Parts & Accessories,,32034,CAROL,,13.35 MXN,2019-10-12T0:00-23:59/2019-12-31T0:00-23:59,,,,Medida: 31.5 x 17 x 27 cm,Unidad x Empaque: 500,Características caja master medida: 31.5 x 17 x 27 cm,Características caja master peso: 10.5 kg,
11405,juego de porta vasos joy pot5157 negro,juego de portavasos cuadrados de piel sintética  detalle de costura de hilo blanco. incluye base con placa metálica para sujetarlos.,in stock,new,201.48 MXN,https://printec.mx/,https://www.doblevela.com/images/large/POT5157_lrg.jpg,POT5157 A070061,https://www.doblevela.com/images/large/POT5157_lrg.jpg,,plata,unisex,,Furniture > Office Furniture Accessories > Desk Parts & Accessories,Poliuretano/Metal,0,JOY,ACCESORIOS PARA VINO,201.48 MXN,2019-10-12T0:00-23:59/2019-12-31T0:00-23:59,,,,Medida: 9.1 x 9.1 cm,Unidad x Empaque: 20,Características caja master medida: 26 x 22 x 32 cm,Características caja master peso: 9.1,
9150,estuche c/notas adhesivas attenti ppt01 negro,estuche con notas y banderas adhesivas. incluye calendario para el año en curso y el siguiente. presentación: caja en color blanco.,in stock,new,50.40 MXN,https://printec.mx/product/estuche-attenti/,https://www.doblevela.com/images/large/PPT01_lrg.jpg,PPT01 A120031,https://www.doblevela.com/images/large/PPT01_lrg.jpg,,negro,unisex,,Furniture > Office Furniture Accessories > Desk Parts & Accessories,Curpiel,0,ATTENTI,MEMOS Y ADHESIVOS,50.40 MXN,2019-10-12T0:00-23:59/2019-12-31T0:00-23:59,,,,Medida: 13.2 x 10.6 x 2.4 cm,Unidad x Empaque: 50,Características caja master medida: 28 x 14 x 57 cm,Características caja master peso: 12,
9152,estuche c/notas adhesivas brass ppt02 blanco,estuche de plástico con notas cuadradas y banderas adhesivas. presentación: caja en color blanco.,in stock,new,59.97 MXN,https://printec.mx/product/estuche-brass/,https://www.doblevela.com/images/large/PPT02_lrg.jpg,PPT02 A120032,https://www.doblevela.com/images/large/PPT02_lrg.jpg,,blanco,unisex,,Furniture > Office Furniture Accessories > Desk Parts & Accessories,Plástico,1062,BRASS,MEMOS Y ADHESIVOS,59.97 MXN,2019-10-12T0:00-23:59/2019-12-31T0:00-23:59,,,,Medida: 13.2 x 11.1 x 1.9 cm,Unidad x Empaque: 50,Características caja master medida: 31 x 12 x 62 cm,Características caja master peso: 9,
8750,portaretratos sidney pr01 plateado,portarretrato de aluminio con soporte plegable. incluye vidrio de 3mm de espesor. presentación: caja en color blanco.,in stock,new,59.10 MXN,https://printec.mx/,https://www.doblevela.com/images/large/PR01_lrg.jpg,PR01 A070014,https://www.doblevela.com/images/large/PR01_lrg.jpg,,plata,unisex,,Furniture > Office Furniture Accessories > Desk Parts & Accessories,Aluminio,3150,SIDNEY,ACCESORIOS PARA HOGAR,59.10 MXN,2019-10-12T0:00-23:59/2019-12-31T0:00-23:59,,,,Medida: 18.7 x 18.5 cm,Unidad x Empaque: 48,Características caja master medida: 39.6 x 18.5 x 52 cm,Características caja master peso: 13,
8578,parasol doble para auto elipsis pso9263 plata,juego de dos protectores de sol para ventanas laterales de auto. incluye 4 ganchos de plástico con chupón adherible para colocar en ventanas. juego de dos piezas y funda para guardar.,in stock,new,39.69 MXN,https://printec.mx/product/parasol-elipsis/,https://www.doblevela.com/images/large/PSO9263_lrg.jpg,PSO9263 A020324,https://www.doblevela.com/images/large/PSO9263_lrg.jpg,,plata,unisex,,Furniture > Office Furniture Accessories > Desk Parts & Accessories,Poliéster,12202,ELIPSIS,ACCESORIOS AUTO,39.69 MXN,2019-10-12T0:00-23:59/2019-12-31T0:00-23:59,,,,Medida: MD/ 44 x 38 cm MD/FUNDA Ø 16 cm,Unidad x Empaque: 250,Características caja master medida: 56 x 38 x 45 cm,Características caja master peso: 7,
9026,pastillero plastico grace pst4249 blanco,estuche plástico para pastillas. contenido: base en color blanco sólido y 7 guardas  para control de tomas medicinales diarias.,in stock,new,13.84 MXN,https://printec.mx/product/estuche-grace/,https://www.doblevela.com/images/large/PST4249_lrg.jpg,PST4249 A100076,https://www.doblevela.com/images/large/PST4249_lrg.jpg,,blanco,unisex,,Furniture > Office Furniture Accessories > Desk Parts & Accessories,Plástico,1473,GRACE,SALUD,13.84 MXN,2019-10-12T0:00-23:59/2019-12-31T0:00-23:59,,,,Medida: 19 x 3.5 x 3.6 cm,Unidad x Empaque: 100,Características caja master medida: 40 x 42 x 21 cm,Características caja master peso: 8,
11918,notas adhesivas  patrick pst4339 beige,mini block de pasta dura con espiral metálico. contiene 5 blocks de notas adhesivas en colores fosforescentes: amarillo  rosa  naranja  verde  azul y un block de banderas en los mismos colores.,in stock,new,28.23 MXN,https://printec.mx/product/mini-block-patrick/,https://www.doblevela.com/images/large/PST4339_lrg.jpg,PST4339 A120064,https://www.doblevela.com/images/large/PST4339_lrg.jpg,,beige,unisex,,Furniture > Office Furniture Accessories > Desk Parts & Accessories,,0,PATRICK,,28.23 MXN,2019-10-12T0:00-23:59/2019-12-31T0:00-23:59,,,,Medida: 38 x 31.5 x 26 cm,Unidad x Empaque: 120,Características caja master medida: 38 x 31.5 x 26 cm,Características caja master peso: 12 kg,
11919,estuche de notas ecologico frida pst4340 beige,estuche ecológico de notas adhesivas. incluye bolígrafo de papel reciclado y regla plástica.,in stock,new,40.06 MXN,https://printec.mx/product/estuche-ecologico-frida/,https://www.doblevela.com/images/large/PST4340_lrg.jpg,PST4340 A120067,https://www.doblevela.com/images/large/PST4340_lrg.jpg,,beige,unisex,,Furniture > Office Furniture Accessories > Desk Parts & Accessories,,8350,FRIDA,,40.06 MXN,2019-10-12T0:00-23:59/2019-12-31T0:00-23:59,,,,Medida: 40 x 34.5 x 26 cm,Unidad x Empaque: 100,Características caja master medida: 40 x 34.5 x 26 cm,Características caja master peso: 13 kg,
